sharedNONLLM	MGspeNONLLM	MDMspeNONLLM
Neurl3	Clk1	Sgk3
Stk17b	Cflar	Slco5a1
Dock10	Atg16l1	Phf3
Btg2	Ing5	Hs6st1
Rgs2	Ccnt2	Arid5a
Matk	Srgap2	Cnnm4
Rel	Ier5	Il1r2
Per1	Sde2	Tex30
Kdm6b	Trp53bp2	Nabp1
Mgl2	Atf3	Stat4
Asb2	Tbpl1	Gls
Lifr	Slc29a3	Nab1
Tob2	Jmjd1c	Mfsd6
Slc38a2	Icosl	Ankrd44
Nr4a1	Nav3	Coq10b
Runx1	Cnot2	Nop58
Hspa1a	Ppm1h	Adam23
Fem1c	Nab2	Tuba4a
Cd74	Dusp18	Dnajb2
Dpp4	Hnrnph1	Sp140
Il1b	Clk4	Gpr55
Cass4	Flcn	Ptma
Mcl1	Map2k3	Lrrfip1
Dnaja1	Ndel1	Gpr35
Pde4b	Ssh2	Kif1a
Marcksl1	Wsb1	St8sia4
Epha2	Hexim1	Phlpp1
Klrb1b	Ddx5	Ptpn4
Zfp36	Armc7	Actr3
Herpud1	Socs3	Cxcr4
Rrad	Mafg	Rassf5
Dennd4a	Cbll1	Nuak2
NA	Dnajb9	Csrp1
NA	Numb	Ptprc
NA	Tmem179	Dennd1b
NA	Klf6	Rgs18
NA	Cd83	Fam129a
NA	Mylip	1700025G04Rik
NA	Tut7	4930523C07Rik
NA	Erbin	Prdx6
NA	Zfp131	Sell
NA	Gnl3	Uck2
NA	Spata13	Uap1
NA	Ints6	Slamf7
NA	Egr3	Slamf9
NA	Card6	Tagln2
NA	Azin1	Slamf8
NA	Trib1	Ifi209
NA	Fam135b	Mndal
NA	Nfam1	Ifi203
NA	Kmt2d	Ifi205
NA	Bcl6	Kmo
NA	Nfkbiz	Chml
NA	St3gal6	Akt3
NA	Synj1	H3f3a
NA	Dyrk1a	Lbr
NA	Chd1	Batf3
NA	Fgd2	Ppp2r5a
NA	Ppp1r10	Plekhg1
NA	Tgif1	Stx11
NA	Rasgrp3	Plagl1
NA	Cebpz	Hivep2
NA	Egr1	Ifngr1
NA	Adrb2	Il22ra2
NA	Pmaip1	Arhgap18
NA	Slc25a45	Fyn
