sharedLLM	MGspeLLM	MDMspeLLM
Slc40a1	Col3a1	Mcm3
Mpzl1	Col5a2	Lmbrd1
Creg1	Fn1	Rab23
Ly9	Igfbp5	Dst
Prmt2	Efhd1	Tmem237
Pfkl	Soat1	Nrp2
Bsg	Ankrd45	Idh1
Igf1	Rgs4	Igfbp2
P4ha2	Rab3gap2	Slc11a1
Pmp22	Arg1	Speg
Cd68	Lilr4b	Serpine2
Col1a1	Hk1	Htr2b
Tmem106a	Mif	Hjurp
Zfyve21	Col6a2	Tnfrsf11a
Ninj1	Gpx4	Tmem37
Hk3	Timp3	Ccdc93
Ccnb1	Ugp2	Srgap2
Acod1	Vdac1	Rab7b
Slc48a1	Psmb6	Cdk18
Pla2g7	Vtn	Adora1
Lrg1	Scpep1	Cyb5r1
Lipa	Mrpl45	Aspm
Spc25	Galk1	Cfh
Ube2c	P4hb	Pla2g4a
Fabp5	Slc16a3	Npl
Cd5l	Rsad2	Glul
Gclm	Egln3	Mr1
Plin2	Rhoj	Prrx1
Pgm1	Adssl1	Dusp27
Prdx1	Pfkp	Nuf2
Lrpap1	Card19	Olfml2b
Spp1	Prelid1	Fcgr3
Gpnmb	Plk2	Cd84
Saa3	Ero1l	Slamf6
Gde1	Lgals3	Ncstn
Plk1	Ndrg2	Cnst
Adam8	Bnip3l	Sccpdh
Tnfrsf26	Esd	Cdc42bpa
Msr1	Dab2	Tmem63a
Lpl	Osmr	Cenpf
Hmox1	Dap	Pacc1
Bgn	Ndrg1	Rd3
Slc6a8	Zfat	Fbxo5
Maged1	Lgals1	Ulbp1
Rnf128	H1f0	Lrp11
Maged2	Kdelr3	Adgb
NA	Acvrl1	Rab32
NA	Pkp2	Slc18b1
NA	Fam162a	Enpp1
NA	Fstl1	Marcks
NA	Col8a1	Sesn1
NA	Gbe1	Slc35f1
NA	Thbs2	Vsir
NA	Pgp	Sgpl1
NA	Mrpl28	Macroh2a2
NA	A530064D06Rik	Lrrtm3
NA	Plin3	Reep3
NA	Emilin2	Cdk1
NA	Prelid2	Col6a1
NA	Ap3s1	Lrrc3
NA	Eno1b	Agpat3
NA	Pdgfrb	Reep6
NA	Afg3l2	Nfic
NA	Me2	Nuak1
NA	Cyb5a	Rtcb
NA	Prdx5	Dcn
NA	Cd274	Kitl
NA	Il33	Nav3
NA	Ifit2	Lyz2
NA	Ifit1	Gns
NA	Pgam1	Tbk1
NA	Scd2	Lrp1
NA	Vim	Cd63
NA	Gsn	Rnf185
NA	Myl9	Dusp18
NA	Tpd52	Tcn2
NA	Anxa5	Fignl1
NA	Mgarp	Lcp2
NA	Selenbp1	Hmmr
NA	Ecm1	Septin8
NA	Grhpr	Kif3a
NA	Stra6l	Pdlim4
NA	Tnc	Acsl6
NA	Eno1	Gpx3
NA	Tnfrsf9	Sparc
