sharedLLM	MGspeLLM	MDMspeLLM
Neurl3	Col3a1	Sgk3
Slc40a1	Col5a2	Slco5a1
Stk17b	Clk1	Mcm3
Dock10	Cflar	Lmbrd1
Srgap2	Fn1	Phf3
Btg2	Igfbp5	Rab23
Rgs2	Efhd1	Dst
Mpzl1	Atg16l1	Hs6st1
Creg1	Ing5	Arid5a
Ly9	Ccnt2	Cnnm4
Prmt2	Ier5	Il1r2
Pfkl	Soat1	Tex30
Bsg	Ankrd45	Nabp1
Matk	Rgs4	Stat4
Igf1	Sde2	Gls
Nav3	Trp53bp2	Nab1
Dusp18	Rab3gap2	Mfsd6
Rel	Atf3	Ankrd44
P4ha2	Tbpl1	Coq10b
Pmp22	Arg1	Tmem237
Per1	Lilr4b	Nop58
Kdm6b	Slc29a3	Nrp2
Cd68	Hk1	Adam23
Mgl2	Jmjd1c	Idh1
Col1a1	Mif	Igfbp2
Tmem106a	Col6a2	Slc11a1
Asb2	Icosl	Tuba4a
Zfyve21	Gpx4	Dnajb2
Tmem179	Timp3	Speg
Pfkp	Cnot2	Serpine2
Mylip	Ppm1h	Sp140
Ninj1	Nab2	Gpr55
Hk3	Ugp2	Htr2b
Ccnb1	Hnrnph1	Ptma
Acod1	Clk4	Hjurp
Lifr	Vdac1	Lrrfip1
Ndrg1	Flcn	Gpr35
Tob2	Map2k3	Kif1a
Slc38a2	Ndel1	St8sia4
Slc48a1	Psmb6	Tnfrsf11a
Nr4a1	Ssh2	Phlpp1
St3gal6	Vtn	Ptpn4
Runx1	Wsb1	Tmem37
Hspa1a	Scpep1	Ccdc93
Pla2g7	Mrpl45	Actr3
Lrg1	Hexim1	Cxcr4
Rasgrp3	Ddx5	Rassf5
Fem1c	Armc7	Rab7b
Cd74	Galk1	Cdk18
Adrb2	Socs3	Nuak2
Lipa	P4hb	Adora1
Entpd1	Mafg	Cyb5r1
Vim	Slc16a3	Csrp1
Gsn	Rsad2	Ptprc
Dpp4	Cbll1	Dennd1b
Spc25	Dnajb9	Aspm
Il1a	Egln3	Cfh
Il1b	Rhoj	Rgs18
Ube2c	Numb	Pla2g4a
Cass4	Adssl1	Fam129a
Fabp5	Klf6	1700025G04Rik
Cd5l	Cd83	Npl
Mcl1	Card19	Glul
Gclm	Prelid1	Mr1
Dnaja1	Tut7	4930523C07Rik
